db_id,artistName,trackName,albumName,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
302,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
303,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
304,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
305,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
306,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
307,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
308,Black Gryph0n,Insane,Insane,0.716,0.712,4,-5.826,0,0.144,0.193,0.0,0.823,0.797,104.899
309,The Living Tombstone,Discord,Discord,0.676,0.835,8,-4.382,0,0.044,0.00682,3.04E-05,0.081,0.8,104.987
310,NyxTheShield,Megalo Strike Back,Two Sides - An Undertale Tribute Album,0.494,0.888,2,-10.06,1,0.0509,0.147,0.664,0.0746,0.162,139.946
311,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
312,Harry Callaghan,Detach the Wheatley Core,Detach the Wheatley Core,0.576,0.633,9,-8.903,0,0.0517,0.578,0.0,0.118,0.766,134.901
313,宝鐘マリン,Ahoy!! 我ら宝鐘海賊団☆,Ahoy!! 我ら宝鐘海賊団☆,0.458,0.984,2,-2.488,1,0.248,0.0563,0.000588,0.0931,0.269,170.033
314,Gawr Gura,REFLECT,REFLECT,0.646,0.813,4,-9.007,0,0.0863,0.0275,0.0,0.115,0.679,125.075
315,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
316,Kawai Sprite,Ugh,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.5,0.856,0,-7.317,1,0.0473,0.0115,0.000256,0.278,0.504,160.071
317,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
318,Lemon Demon,Cabinet Man,Spirit Phone,0.725,0.497,10,-7.929,1,0.057,0.0519,0.017,0.137,0.954,171.988
319,The Orion Experience,The Cult of Dionysus,Cosmicandy,0.661,0.836,1,-4.079,0,0.0297,0.00615,0.0,0.032,0.799,137.507
320,Vertigoat,Hu Tao Rap,Hu Tao Rap,0.718,0.383,4,-13.573,1,0.81,0.872,1.32E-05,0.145,0.606,199.914
321,luvbyrd,a town with an ocean view (kiki's delivery service lofi),a town with an ocean view (kiki's delivery service lofi),0.775,0.441,4,-12.269,0,0.113,0.892,0.964,0.115,0.614,102.022
322,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
323,NyxTheShield,Overwrite,The Best of Underverse,0.318,0.881,8,-9.005,1,0.118,0.000816,0.0118,0.738,0.144,179.912
324,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
325,Shirobon,Undertale - Spider Dance - Shirobon Remix,Undertale - Spider Dance (Shirobon Remix),0.565,0.946,1,-4.325,1,0.0375,0.000356,0.899,0.044,0.772,115.006
326,Hyper Potions,Borderline Forever (Scott The Woz Outro Music),Borderline Forever (Scott The Woz Outro Music),0.578,0.892,10,-4.861,1,0.0477,0.000712,0.853,0.746,0.599,129.924
327,atsuover,Animal,Friday Night Funkin': VS Annie Mod,0.743,0.581,11,-11.874,0,0.0341,0.142,0.941,0.0985,0.971,140.023
328,Annapantsu,It's Tough to Be a God,It's Tough to Be a God,0.611,0.615,1,-8.528,1,0.18,0.0777,0.0,0.436,0.59,76.105
329,NyxTheShield,Megalomaniac,Your Best Friend (Original Soundtrack),0.611,0.0146,9,-29.221,0,0.0403,0.984,0.945,0.101,0.472,100.001
330,Dj Cutman,He walk (Accumula Town),Turbo Mode,0.597,0.65,1,-7.291,0,0.0288,3.71E-05,0.786,0.277,0.583,133.377
331,The Chalkeaters,Doom Crossing: Eternal Horizons,Doom Crossing: Eternal Horizons,0.648,0.894,8,-5.089,1,0.131,0.0459,0.015,0.0936,0.571,159.952
332,Kawai Sprite,Winter Horrorland,"Friday Night Funkin', Vol. 2 (Original Game Soundtrack)",0.542,0.546,9,-8.271,1,0.0309,0.399,0.0,0.107,0.563,79.494
