db_id,artistName,albumName,trackName,id,albumID,uri,duration_ms
13302,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Attack of the Killer Queen,1K45maA9jDR1kBRpojtPmO,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1K45maA9jDR1kBRpojtPmO,120000
13303,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Berdly,3GtA0wC7ZV1LtiaKVcFARJ,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:3GtA0wC7ZV1LtiaKVcFARJ,46020
13304,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Knock You Down !!,7ARvBQv5g2gDmBGXM6VDCR,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:7ARvBQv5g2gDmBGXM6VDCR,146462
13305,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Queen,1K45maA9jDR1kBRpojtPmO,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1K45maA9jDR1kBRpojtPmO,120000
13306,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Deal Gone Wrong,6pZ84L82buMFjAqev002Tv,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:6pZ84L82buMFjAqev002Tv,31327
13307,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Berdly,3GtA0wC7ZV1LtiaKVcFARJ,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:3GtA0wC7ZV1LtiaKVcFARJ,46020
13308,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Spamton,1dWgRROqpijnPVQS0LNJMf,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1dWgRROqpijnPVQS0LNJMf,42947
13309,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),A Simple Diversion,7CaYooLVhBdkhRjSHrntgD,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:7CaYooLVhBdkhRjSHrntgD,31322
13310,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Faint Courage (Game Over),1RDnckI3aDh19h9TJAUm3N,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1RDnckI3aDh19h9TJAUm3N,52043
13311,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Chill Jailbreak Alarm to Study and Relax to,3RhudFHKBLdUqcwTwRWSfm,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:3RhudFHKBLdUqcwTwRWSfm,24000
13312,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),WELCOME TO THE CITY,30hbRoex1LUK0fShzTLR1C,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:30hbRoex1LUK0fShzTLR1C,114005
13313,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Elegant Entrance,0v32fKwN5VpiZYEW9bwcmI,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:0v32fKwN5VpiZYEW9bwcmI,78000
13314,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),A CYBER'S WORLD?,0BE2Lbu4GgcCT6kgB1tDTc,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:0BE2Lbu4GgcCT6kgB1tDTc,166154
13315,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),The Dark Truth,49vU3wEaRNGzZIy1TATOlW,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:49vU3wEaRNGzZIy1TATOlW,72000
13316,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),"It's Pronounced ""Rules""",6zOVVoWfAnRMj5XfcvUoyF,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:6zOVVoWfAnRMj5XfcvUoyF,61241
13317,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Faint Glow,0wntsmQSoI55KsAD56KEAq,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:0wntsmQSoI55KsAD56KEAq,77315
13318,The Longest Johns,Between Wind And Water,Off To Sea,4UIrHCB53oLV58ylcsdFxf,0czdThetfLyCdGpAF2dRqR,spotify:track:4UIrHCB53oLV58ylcsdFxf,271000
13319,Toby Fox,DELTARUNE Chapter 2 (Original Game Soundtrack),Smart Race,1GdTlOlPxxXhuA1Z4Tbf5H,7DAiPXN3HdbktwwFzQXqrZ,spotify:track:1GdTlOlPxxXhuA1Z4Tbf5H,66108
13320,Great Big Sea,XX,Josephine The Baker,03AO3uFbs9rU4Eyxq0Cty8,1ipvJTbk5ySPniqapRTrsn,spotify:track:03AO3uFbs9rU4Eyxq0Cty8,275120
13321,Michiel Schrey,Assassin's Creed 4: Black Flag (Sea Shanty Edition) [Original Game Soundtrack],Fish in the Sea,4gofFADVe6CBXoNQHuxwiF,2lMgz2BBwwzkc9ZfNB9zYi,spotify:track:4gofFADVe6CBXoNQHuxwiF,89253
13322,Sean Dagher,"Assassin's Creed 4: Black Flag (Sea Shanty Edition, Vol. 2) [Original Game Soundtrack]",Drunken Sailor,0mGVZddgCy1jYBnWvKCV8H,3xIHHyUh7RTAzLzXUzksBB,spotify:track:0mGVZddgCy1jYBnWvKCV8H,89520
13323,The Longest Johns,Written in Salt,Drunken Sailor,4n5UwoPQn0tBlqxQjyEMdB,7F3T51Kxa6tpDDZq8HSBIa,spotify:track:4n5UwoPQn0tBlqxQjyEMdB,144760
13324,Great Big Sea,XX,Gideon Brown,0LKwP6JNN5r63dEYzRzn8p,1ipvJTbk5ySPniqapRTrsn,spotify:track:0LKwP6JNN5r63dEYzRzn8p,174253
13325,The Longest Johns,Between Wind And Water,Spanish Ladies,0Et1AcRsnOEpPbxR3VdVbQ,0czdThetfLyCdGpAF2dRqR,spotify:track:0Et1AcRsnOEpPbxR3VdVbQ,181500
13326,The Longest Johns,Between Wind And Water,Spanish Ladies,0Et1AcRsnOEpPbxR3VdVbQ,0czdThetfLyCdGpAF2dRqR,spotify:track:0Et1AcRsnOEpPbxR3VdVbQ,181500
13327,The Longest Johns,Commodore 1864,Randy Dandy-O,77pf3ACXabnCxlMj9OIl7f,4zQAW12WQeDWvanDAr5et8,spotify:track:77pf3ACXabnCxlMj9OIl7f,113766
13328,The Longest Johns,Between Wind And Water,Mingulay Boat Song,42ytqbbaAAVEWRYgbiCyBk,0czdThetfLyCdGpAF2dRqR,spotify:track:42ytqbbaAAVEWRYgbiCyBk,221000
